,date,cny,eur,gbp,jpy,snp_index,snp_daily_return,vix,vxo
88,20100510,0.010721,1.4988,1.28395,0.146488,1159.73,0.043974,28.84,26.59
89,20100511,0.0107886,1.4871,1.26905,0.146434,1155.79,-0.003397,28.32,26.43
90,20100512,0.0107434,1.48585,1.26805,0.146471,1171.67,0.01374,25.52,24.17
91,20100513,0.010798,1.46765,1.2566,0.14646,1157.44,-0.012145,26.68,25.31
92,20100514,0.0108696,1.45555,1.2425,0.146482,1135.68,-0.0188,31.24,29.49
93,20100517,0.010812,1.44315,1.23355,0.146462,1136.94,0.001109,30.84,27.86
94,20100518,0.0108044,1.4438,1.23735,0.146469,1120.8,-0.014196,33.55,31.51
95,20100519,0.0109463,1.4367,1.23365,0.146469,1115.05,-0.00513,35.32,32.42
96,20100520,0.0111663,1.4304,1.23345,0.146458,1071.59,-0.038976,45.79,43.63
97,20100521,0.0111247,1.44385,1.2557,0.146462,1087.69,0.015024,40.1,37.65
98,20100524,0.0110509,1.4409,1.2378,0.146445,1073.65,-0.012908,38.32,35.19
99,20100525,0.0111495,1.43365,1.2243,0.146391,1074.03,0.000354,34.61,32.83
100,20100526,0.0110534,1.4423,1.22205,0.146432,1067.95,-0.005661,35.02,34.21
101,20100527,0.0110144,1.44735,1.2265,0.146381,1103.06,0.032876,29.68,28.4
102,20100528,0.0109963,1.44585,1.23315,0.146385,1089.41,-0.012375,32.07,30.83
103,20100601,0.0109541,1.47,1.22875,0.146409,1070.71,-0.017165,35.54,34.86
104,20100602,0.0108366,1.45695,1.22015,0.146415,1098.38,0.025843,30.17,28.56
105,20100603,0.0108213,1.4621,1.22045,0.146451,1102.83,0.004051,29.46,28.78
106,20100604,0.0108796,1.4558,1.2036,0.146439,1064.88,-0.034411,35.48,34.38
107,20100607,0.0109051,1.4495,1.193,0.146366,1050.47,-0.013532,36.57,35.4
108,20100608,0.010989,1.4369,1.1948,0.146424,1062,0.010976,33.7,32.01
109,20100609,0.0109325,1.4594,1.2057,0.146454,1055.69,-0.005942,33.73,33.32
110,20100610,0.0109559,1.4665,1.2106,0.146396,1086.84,0.029507,30.57,29.68
111,20100611,0.0109087,1.4552,1.20935,0.146364,1091.6,0.00438,28.79,27.9
112,20100614,0.0108968,1.4787,1.2277,0.146364,1089.63,-0.001805,28.58,27.98
113,20100615,0.0109631,1.4814,1.2308,0.146364,1115.23,0.023494,25.87,25.08
114,20100616,0.0109433,1.4837,1.23165,0.146364,1114.61,-0.000556,25.92,25.37
115,20100617,0.0110126,1.4789,1.2355,0.146432,1116.04,0.001283,25.05,24.44
116,20100618,0.0110102,1.4801,1.2383,0.146494,1117.51,0.001317,23.95,22.53
117,20100621,0.0109703,1.48185,1.238,0.147111,1113.2,-0.003857,24.88,23.43
118,20100622,0.0110327,1.47925,1.2282,0.146765,1095.31,-0.016071,27.05,25.61
119,20100623,0.0110982,1.48985,1.22395,0.146791,1092.04,-0.002985,26.91,26.23
120,20100624,0.0111951,1.49695,1.2316,0.147065,1073.69,-0.016803,29.74,29.2
121,20100625,0.0112001,1.4978,1.2292,0.147275,1076.76,0.002859,28.53,28.2
122,20100628,0.0112057,1.51095,1.2333,0.14713,1074.57,-0.002034,29,27.06
123,20100629,0.0113065,1.5057,1.2178,0.147109,1041.24,-0.031017,34.13,33.11
124,20100630,0.0113007,1.4961,1.2249,0.147462,1030.71,-0.010113,34.54,33.57
125,20100701,0.0114863,1.5115,1.2455,0.147471,1027.37,-0.00324,32.86,32.92
126,20100702,0.0114032,1.51885,1.26015,0.147686,1022.58,-0.004662,30.12,29.7
127,20100706,0.0114384,1.5219,1.26475,0.14749,1028.06,0.005359,29.65,29.14
128,20100707,0.0114574,1.52025,1.2633,0.147554,1060.27,0.031331,26.84,26.33
129,20100708,0.0112918,1.51595,1.268,0.147578,1070.25,0.009413,25.71,24.76
130,20100709,0.0113014,1.51095,1.26335,0.147634,1077.96,0.007204,24.98,23.54
131,20100712,0.0112962,1.50755,1.2585,0.147686,1078.75,0.000733,24.43,24.87
132,20100713,0.0113533,1.51695,1.26695,0.147667,1095.34,0.015379,24.56,23.85
133,20100714,0.0113039,1.5266,1.27295,0.147612,1095.17,-0.000155,24.89,24.89
134,20100715,0.0114351,1.53735,1.28935,0.147525,1096.48,0.001196,25.14,24.84
135,20100716,0.0115721,1.53445,1.2952,0.147601,1064.88,-0.02882,26.25,26.49
136,20100719,0.0115374,1.5212,1.29675,0.147536,1071.25,0.005982,25.97,25.15
137,20100720,0.0114916,1.5241,1.2884,0.147534,1083.48,0.011417,23.93,23.58
138,20100721,0.0114705,1.5212,1.2818,0.14756,1069.59,-0.01282,25.64,25.45
139,20100722,0.0114857,1.5259,1.29075,0.147493,1093.67,0.022513,24.63,24.27
140,20100723,0.0114561,1.54035,1.2818,0.147486,1102.66,0.00822,23.47,23.33
141,20100726,0.0114626,1.54735,1.2936,0.147504,1115.01,0.0112,22.73,21.91
142,20100727,0.0113817,1.55545,1.29845,0.147523,1113.84,-0.001049,23.19,21.62
143,20100728,0.011422,1.56205,1.3015,0.147536,1106.13,-0.006922,24.25,22.83
144,20100729,0.0114797,1.56115,1.3085,0.147578,1101.53,-0.004159,24.13,22.85
145,20100730,0.0115393,1.5661,1.3028,0.147601,1101.6,6.40E-05,23.5,23.03
146,20100802,0.011566,1.5896,1.31855,0.147619,1125.86,0.022023,22.01,20.08
147,20100803,0.0116509,1.59525,1.32215,0.147645,1120.46,-0.004796,22.63,21.15
148,20100804,0.0115868,1.5877,1.3144,0.147663,1127.24,0.006051,22.21,20.86
149,20100805,0.0116428,1.58325,1.31555,0.147669,1125.81,-0.001269,22.1,21.35
150,20100806,0.0117481,1.5974,1.3292,0.147748,1121.64,-0.003704,21.74,20.62
151,20100809,0.0116598,1.59575,1.3245,0.147774,1127.79,0.005483,22.14,20.34
152,20100810,0.0116503,1.57395,1.30875,0.147667,1121.06,-0.005967,22.37,20.91
153,20100811,0.0117261,1.5662,1.29,0.147601,1089.47,-0.028179,25.39,25.16
154,20100812,0.0116353,1.55825,1.28445,0.147382,1083.61,-0.005379,25.73,25.73
155,20100813,0.0115808,1.55855,1.2761,0.147152,1079.25,-0.004024,26.24,26.68
156,20100816,0.0117165,1.56735,1.2845,0.146882,1079.38,0.00012,26.1,25.12
157,20100817,0.0116863,1.55805,1.287,0.14723,1092.54,0.012192,24.33,23.83
158,20100818,0.0117165,1.5594,1.2854,0.147239,1094.16,0.001483,24.59,24.3
159,20100819,0.0117578,1.5633,1.2866,0.147271,1075.63,-0.016935,26.44,26.1
160,20100820,0.0116632,1.5508,1.26855,0.147271,1071.69,-0.003663,25.49,25.45
161,20100823,0.0117385,1.55055,1.26565,0.147052,1067.36,-0.00404,25.66,24.87
162,20100824,0.0119055,1.5453,1.2683,0.147119,1051.87,-0.014512,27.46,27.09
163,20100825,0.0118189,1.54265,1.2627,0.147089,1055.33,0.003289,26.7,26.84
164,20100826,0.0118161,1.5581,1.27385,0.147063,1047.22,-0.007685,27.37,27.38
165,20100827,0.0117675,1.54735,1.2719,0.147098,1064.59,0.016587,24.45,24.91
166,20100830,0.0118043,1.5475,1.2687,0.146994,1048.92,-0.014719,27.21,26.08
167,20100831,0.011909,1.5369,1.27095,0.146899,1049.33,0.000391,26.05,26.58
168,20100901,0.0118266,1.54605,1.282,0.146811,1080.29,0.029505,23.89,23.52
169,20100902,0.0118603,1.5401,1.2828,0.146877,1090.1,0.009081,23.19,22.87
170,20100903,0.0118561,1.5439,1.28625,0.146977,1104.51,0.013219,21.31,20.24
171,20100907,0.0119431,1.5305,1.27265,0.147245,1091.84,-0.011471,23.8,22.63
172,20100908,0.0119168,1.54845,1.2745,0.147182,1098.87,0.006439,23.25,22.16
173,20100909,0.0119382,1.54745,1.2738,0.147423,1104.18,0.004832,22.81,21.53
174,20100910,0.0118694,1.53835,1.2726,0.147728,1109.55,0.004863,21.99,20.89
175,20100913,0.0119346,1.54335,1.28695,0.14789,1121.9,0.011131,21.21,20.47
176,20100914,0.0120417,1.54985,1.29765,0.148229,1121.1,-0.000713,21.56,20.81
177,20100915,0.0116768,1.56355,1.30295,0.14832,1125.07,0.003541,22.1,21.42
178,20100916,0.0116727,1.56385,1.31015,0.148703,1124.66,-0.000364,21.72,20.96
179,20100917,0.0116475,1.56345,1.30455,0.148732,1125.59,0.000827,22.01,20.7
180,20100920,0.0116618,1.55755,1.30845,0.148936,1142.71,0.01521,21.5,19.47
181,20100921,0.0117192,1.5542,1.31325,0.149109,1139.78,-0.002564,22.35,20.65
182,20100922,0.0118371,1.56635,1.34115,0.149109,1134.28,-0.004825,22.51,21.01
183,20100923,0.0118631,1.5718,1.3333,0.149109,1124.83,-0.008331,23.87,22.75
184,20100924,0.0118737,1.5814,1.3476,0.149109,1148.67,0.021194,21.71,20.39
185,20100927,0.011873,1.5835,1.34705,0.149425,1142.16,-0.005667,22.54,20.6
186,20100928,0.0119147,1.5805,1.3546,0.149463,1147.7,0.00485,22.6,20.68
187,20100929,0.011956,1.57985,1.3599,0.149548,1144.73,-0.002588,23.25,21.62
188,20100930,0.0119703,1.5758,1.3652,0.14945,1141.2,-0.003084,23.7,22.4
189,20101001,0.012007,1.58105,1.37465,0.14945,1146.24,0.004416,22.5,21.05
190,20101004,0.0119904,1.584,1.36815,0.14945,1137.03,-0.008035,23.53,21.64
191,20101005,0.0120395,1.5922,1.38395,0.14945,1160.75,0.020861,21.76,19.83
192,20101006,0.0120671,1.589,1.38895,0.14945,1159.97,-0.000672,21.49,19.98
193,20101007,0.0121507,1.59415,1.39405,0.14945,1158.06,-0.001647,21.56,20.6
194,20101008,0.0122175,1.5932,1.39325,0.149912,1165.15,0.006122,20.71,19.74
195,20101011,0.012184,1.59055,1.3894,0.149975,1165.32,0.000146,18.96,19.68
196,20101012,0.0122249,1.57855,1.38345,0.149849,1169.77,0.003819,18.93,19.13
197,20101013,0.0122249,1.58375,1.39605,0.150058,1178.1,0.007121,19.07,19.33
198,20101014,0.012288,1.60145,1.40845,0.150358,1173.81,-0.003641,19.88,20.25
199,20101015,0.0122926,1.60125,1.40115,0.150575,1176.19,0.002028,19.03,19.43
200,20101018,0.0123175,1.58995,1.3967,0.150509,1184.71,0.007244,19.09,18.28
201,20101019,0.012222,1.57255,1.37895,0.150496,1165.9,-0.015877,20.63,20.15
202,20101020,0.0123564,1.5855,1.39685,0.150333,1178.17,0.010524,19.79,19.24
203,20101021,0.0123168,1.5767,1.4002,0.150367,1180.26,0.001774,19.27,19.02
204,20101022,0.012282,1.56695,1.39245,0.150173,1183.08,0.002389,18.78,18.53
205,20101025,0.0124077,1.5723,1.39785,0.150193,1185.62,0.002147,19.85,19.5
206,20101026,0.0123031,1.5867,1.38685,0.150089,1185.64,1.70E-05,20.22,19.64
207,20101027,0.0122451,1.57815,1.3779,0.149687,1182.45,-0.002691,20.71,20.17
208,20101028,0.0123564,1.594,1.39005,0.149535,1183.78,0.001125,20.88,20.56
209,20101029,0.0124146,1.5988,1.3899,0.149907,1183.26,-0.000439,21.2,21.33
210,20101101,0.0123962,1.60455,1.3888,0.149479,1184.38,0.000947,21.83,21.21
211,20101102,0.0123755,1.60095,1.40255,0.149752,1193.57,0.007759,21.57,21.51
212,20101103,0.0122835,1.60785,1.4014,0.149788,1197.96,0.003678,19.56,18.86
213,20101104,0.0124039,1.62815,1.42245,0.150071,1221.06,0.019283,18.52,18.33
214,20101105,0.0122926,1.62085,1.4032,0.150227,1225.85,0.003923,18.26,17.76
215,20101108,0.0123198,1.6141,1.39005,0.149743,1223.25,-0.002121,18.29,16.9
216,20101109,0.0123732,1.6115,1.39125,0.150512,1213.4,-0.008052,19.08,18.06
217,20101110,0.0120817,1.6026,1.36985,0.150745,1218.71,0.004376,18.47,17.57
218,20101111,0.0121242,1.61525,1.36695,0.150927,1213.54,-0.004242,18.64,17.68
219,20101112,0.0121403,1.61515,1.37025,0.15067,1199.21,-0.011808,20.61,20.35
220,20101115,0.0120511,1.60685,1.3595,0.150478,1197.75,-0.001217,20.2,19.42
221,20101116,0.0120026,1.5911,1.3554,0.15065,1178.34,-0.016205,22.58,21.85
222,20101117,0.0120351,1.59205,1.35415,0.150546,1178.59,0.000212,21.76,21.35
223,20101118,0.0119553,1.59915,1.3602,0.150748,1196.69,0.015357,18.75,18.49
224,20101119,0.0119818,1.5952,1.36615,0.150614,1199.73,0.00254,18.04,17.44
225,20101122,0.0119796,1.59435,1.3609,0.150566,1197.84,-0.001575,18.37,17.15
226,20101123,0.012054,1.5874,1.34335,0.150491,1180.73,-0.014284,20.63,19.54
227,20101124,0.0119947,1.5781,1.3393,0.150279,1198.35,0.014923,19.56,18.27
228,20101126,0.0118991,1.5612,1.32155,0.149981,1189.4,-0.007469,22.22,21.79
229,20101129,0.0118511,1.55305,1.3088,0.150137,1187.76,-0.001379,21.53,20.55
230,20101130,0.0119374,1.55735,1.30175,0.149993,1180.55,-0.00607,23.54,23.22
231,20101201,0.0118723,1.55705,1.3063,0.150074,1206.07,0.021617,21.36,20.35
232,20101202,0.0119154,1.5553,1.31695,0.150121,1221.53,0.012818,19.39,18.91
233,20101203,0.0120985,1.5719,1.33825,0.150076,1224.71,0.002603,18.01,17.19
234,20101206,0.0121014,1.56855,1.32865,0.150412,1223.12,-0.001298,18.02,16.75
235,20101207,0.0120395,1.58165,1.33445,0.150498,1223.75,0.000515,17.99,17.1
236,20101208,0.0118687,1.57735,1.32145,0.150112,1228.28,0.003702,17.74,16.59
237,20101209,0.0119126,1.57275,1.3177,0.150263,1233,0.003843,17.25,16.16
238,20101210,0.0119147,1.5793,1.3221,0.150249,1240.4,0.006002,17.61,16.52
239,20101213,0.0119496,1.58585,1.33875,0.149993,1240.46,4.80E-05,17.55,16.94
240,20101214,0.011971,1.57855,1.33835,0.150261,1241.59,0.000911,17.61,16.88
241,20101215,0.0119048,1.5621,1.3329,0.150252,1235.23,-0.005122,17.94,17.31
242,20101216,0.0118568,1.5592,1.31945,0.150076,1242.87,0.006185,17.39,17.26
243,20101217,0.0118857,1.5469,1.315,0.150252,1243.91,0.000837,16.11,15.52
244,20101220,0.0119503,1.54985,1.31005,0.149824,1247.08,0.002548,16.41,14.82
245,20101221,0.011946,1.54765,1.31335,0.150175,1254.6,0.00603,16.49,15.1
246,20101222,0.0119811,1.53965,1.3097,0.150464,1258.84,0.00338,15.45,14.37
247,20101223,0.0120402,1.5405,1.3068,0.150532,1256.77,-0.001644,16.47,15.53
248,20101227,0.012062,1.5386,1.31505,0.150811,1257.54,0.000613,17.67,15.98
249,20101228,0.0121795,1.53785,1.3132,0.150948,1258.51,0.000771,17.52,16.07
250,20101229,0.0121862,1.54245,1.31365,0.15103,1259.78,0.001009,17.28,15.96
251,20101230,0.0122332,1.5391,1.3282,0.151497,1257.88,-0.001508,17.52,16.31
252,20101231,0.0123297,1.56565,1.34155,0.151752,1257.64,-0.000191,17.75,17.29
253,20110103,0.0122407,1.5466,1.3362,0.151752,1271.87,0.011315,17.61,15.84
254,20110104,0.0121914,1.55955,1.33175,0.151313,1270.2,-0.001313,17.38,15.7
255,20110105,0.0120034,1.54635,1.31445,0.15108,1276.56,0.005007,17.02,15.47
256,20110106,0.0120163,1.54795,1.30355,0.150909,1273.85,-0.002123,17.4,16.22
257,20110107,0.0120518,1.5571,1.29825,0.150875,1271.5,-0.001845,17.14,16.05
258,20110110,0.012089,1.5569,1.29395,0.150655,1269.75,-0.001376,17.54,15.97
259,20110111,0.0119839,1.5568,1.2933,0.151057,1274.48,0.003725,16.89,15.39
260,20110112,0.0120048,1.56975,1.30615,0.151428,1285.96,0.009008,16.24,15.06
261,20110113,0.0120751,1.5854,1.33345,0.15141,1283.76,-0.001711,16.39,15.47
262,20110114,0.0120744,1.5881,1.3362,0.151745,1293.24,0.007385,15.46,14.36
263,20110118,0.0120934,1.59865,1.3391,0.151909,1295.02,0.001376,15.87,14.76
264,20110119,0.0121855,1.5984,1.3493,0.15192,1281.92,-0.010116,17.31,16.22
265,20110120,0.0120482,1.5844,1.3412,0.151851,1280.26,-0.001295,17.99,16.6
266,20110121,0.0120977,1.5991,1.35845,0.151899,1283.35,0.002414,18.47,16.11
267,20110124,0.0121227,1.6003,1.3675,0.151946,1290.84,0.005836,17.65,15.18
268,20110125,0.0121396,1.5824,1.3673,0.151913,1291.18,0.000263,17.59,15.26
269,20110126,0.0121551,1.58845,1.3692,0.151932,1296.63,0.004221,16.64,14.71
270,20110127,0.0120627,1.59395,1.37315,0.15193,1299.54,0.002244,16.15,14.59
271,20110128,0.0121521,1.5844,1.3625,0.151837,1276.34,-0.017852,20.04,18.5
272,20110131,0.0122055,1.60175,1.371,0.151446,1286.12,0.007663,19.53,17
273,20110201,0.0122699,1.6154,1.3792,0.151658,1307.59,0.016694,17.63,15.44
274,20110202,0.0122519,1.61895,1.3809,0.151658,1304.03,-0.002723,17.3,15.57
275,20110203,0.012222,1.61455,1.3631,0.151658,1307.1,0.002354,16.69,15.05
276,20110204,0.0121981,1.60585,1.3554,0.151658,1310.87,0.002884,15.93,14.67
277,20110207,0.012144,1.6113,1.3543,0.151658,1319.05,0.00624,16.28,14.33
278,20110208,0.012219,1.6096,1.3672,0.151658,1324.57,0.004185,15.81,13.82
279,20110209,0.0121242,1.61145,1.3707,0.151658,1320.88,-0.002786,15.87,14.13
280,20110210,0.0120207,1.60795,1.3601,0.151826,1321.87,0.00075,16.09,14.63
281,20110211,0.0119918,1.60005,1.3551,0.151701,1329.15,0.005507,15.69,14.27
282,20110214,0.0119933,1.5995,1.3461,0.151593,1332.32,0.002385,15.95,14.55
283,20110215,0.0119318,1.61605,1.35135,0.15178,1328.01,-0.003235,16.37,14.87
284,20110216,0.0119246,1.60415,1.35175,0.15178,1336.32,0.006257,16.72,14.63
285,20110217,0.0120041,1.61525,1.3579,0.151812,1340.43,0.003076,16.59,15.09
286,20110218,0.0119976,1.62085,1.3637,0.152133,1343.01,0.001925,16.43,14.37
287,20110222,0.0120555,1.61795,1.36945,0.151969,1315.44,-0.020529,20.8,18.74
288,20110223,0.0121117,1.6238,1.3762,0.152107,1307.4,-0.006112,22.13,20.26
289,20110224,0.0122294,1.6113,1.37905,0.152006,1306.1,-0.000994,21.32,19.91
290,20110225,0.0122347,1.6072,1.37475,0.152091,1319.88,0.01055,19.22,17.81
291,20110228,0.0122055,1.6265,1.3812,0.15217,1327.22,0.005561,18.35,16.54
292,20110301,0.0121884,1.6309,1.3829,0.1522,1306.33,-0.01574,21.01,19.45
293,20110302,0.0122451,1.6324,1.388,0.152144,1308.44,0.001615,20.7,19.63
294,20110303,0.0121403,1.6279,1.39395,0.152135,1330.97,0.017219,18.6,17.17
295,20110304,0.0121396,1.6265,1.399,0.152239,1321.15,-0.007378,19.06,18.14
296,20110307,0.0121907,1.62295,1.4014,0.15236,1310.13,-0.008341,20.66,19.45
297,20110308,0.0120926,1.61575,1.3899,0.152244,1321.82,0.008923,19.82,18.68
298,20110309,0.0120926,1.62135,1.3921,0.152158,1320.02,-0.001362,20.22,19.12
299,20110310,0.0120409,1.6045,1.3799,0.152098,1295.11,-0.018871,21.88,21.92
300,20110311,0.0122227,1.60145,1.38395,0.1521,1304.28,0.00708,20.08,20.62
301,20110314,0.0122474,1.618,1.3975,0.152212,1296.39,-0.006049,21.13,20.71
302,20110315,0.0123716,1.6064,1.3968,0.152144,1281.87,-0.0112,24.32,23.48
303,20110316,0.0124688,1.60305,1.3921,0.152177,1256.88,-0.019495,29.4,28.9
304,20110317,0.0126984,1.6143,1.4021,0.152105,1273.72,0.013398,26.37,25.49
305,20110318,0.0123251,1.6184,1.4138,0.152228,1279.2,0.004302,24.44,23.55
306,20110321,0.0123267,1.62755,1.41845,0.152413,1298.38,0.014994,20.61,19.66
307,20110322,0.0123449,1.63865,1.42115,0.15253,1293.77,-0.003551,20.21,19.49
308,20110323,0.0123548,1.62455,1.41235,0.152455,1297.54,0.002914,19.17,18.54
309,20110324,0.0123716,1.61605,1.42,0.152397,1309.66,0.009341,18,17.78
